original_text,normalized_word_text,dict_word,dict_lang,fuzzy_word,fuzzy_lang,fuzzy_confidence,checked_text,checked_lang,lemmatized_text,polarity_score,polarity_label,status,error_message
wakaabi,wakaabi,,Unknown,wakaa,Swahili,83.33333333333334,wakaa,Swahili,,0.0,,pending_gpu,
mwekali,mwekali,,Unknown,mwekaji,Swahili,85.71428571428572,mwekaji,Swahili,,0.0,,pending_gpu,
wama,wama,,Unknown,wamba,Swahili,88.88888888888889,wamba,Swahili,,0.0,,pending_gpu,
habib,habib,,Unknown,habibu,Swahili,90.9090909090909,habibu,Swahili,,0.0,,pending_gpu,
daara,daara,,Unknown,dara,Swahili,88.88888888888889,dara,Swahili,,0.0,,pending_gpu,
nyoo,nyoo,,Unknown,mnyoo,Swahili,88.88888888888889,mnyoo,Swahili,,0.0,,pending_gpu,
tuli,tuli,tuli,Swahili,,,0.0,tuli,Swahili,,0.0,,pending_gpu,
munywa,munywa,,Unknown,munya,Swahili,90.9090909090909,munya,Swahili,,0.0,,pending_gpu,
namba,namba,namba,Swahili,,,0.0,namba,Swahili,,0.0,,pending_gpu,
Ono,ono,Ono,Swahili,,,0.0,Ono,Swahili,,0.0,,pending_gpu,
wama,wama,,Unknown,wamba,Swahili,88.88888888888889,wamba,Swahili,,0.0,,pending_gpu,
rwanda,rwanda,,Unknown,randa,Swahili,90.9090909090909,randa,Swahili,,0.0,,pending_gpu,
Rwanda,rwanda,,Unknown,randa,Swahili,90.9090909090909,randa,Swahili,,0.0,,pending_gpu,
Diogo,diogo,,Unknown,dogo,Swahili,88.88888888888889,dogo,Swahili,,0.0,,pending_gpu,
mzee,mzee,mzee,Swahili,,,0.0,mzee,Swahili,,0.0,,pending_gpu,
Zambia,zambia,,Unknown,ambia,Swahili,90.9090909090909,ambia,Swahili,,0.0,,pending_gpu,
kikoppo,kikoppo,,Unknown,kikopo,Swahili,92.3076923076923,kikopo,Swahili,,0.0,,pending_gpu,
bahayindi,bahayindi,,Unknown,bayini,Swahili,80.0,bayini,Swahili,,0.0,,pending_gpu,
dadi,dadi,,Unknown,idadi,Swahili,88.88888888888889,idadi,Swahili,,0.0,,pending_gpu,
